Taxon,log10,Treatment,LDA,p_kruskalwallis,Compartment
Bacteria.Acidobacteria.Holophagae,3.896238521,Control,3.115338145,0.000532006,Soil
Bacteria.Bacteroidetes.Bacteroidia.BacteroidetesVC2_1Bac22.NA.NA,2.254888249,Control,3.080051733,0.031801456,Soil
Bacteria.Proteobacteria.Gammaproteobacteria,5.998028733,Antibiotics,5.037444196,0.002160019,Shoots
Bacteria.Actinobacteria.Actinobacteria,5.109055653,Control,5.18804737,0.001330228,Shoots
Bacteria.Actinobacteria,5.109361346,Control,5.186477643,0.001330228,Shoots
Bacteria.Acidobacteria.Blastocatellia_Subgroup4_.Pyrinomonadales.Pyrinomonadaceae.RB41,3.769032215,Control,3.117876533,0.000532006,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae,4.059258785,Control,3.339365856,0.001224283,Rhizosphere
Bacteria.Acidobacteria.Blastocatellia_Subgroup4_.Pyrinomonadales.Pyrinomonadaceae,3.769032215,Control,3.117876533,0.000532006,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium.NA,4.487550796,Antibiotics,4.145980572,3.23E-05,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Nitrosomonadaceae.Nitrosospira.NA,3.379438526,Control,3.079484179,0.002680172,Rhizosphere
Bacteria.Cyanobacteria.Melainabacteria.Vampirovibrionales.NA.NA,2.522668459,Control,3.222671149,0.001418408,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae,5.082299987,Control,4.215504353,0.002680172,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Hyphomicrobiaceae.Hyphomicrobium,3.681660368,Antibiotics,3.354024239,0.000174887,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae.Methylotenera,4.766476241,Antibiotics,4.431516417,3.23E-05,Rhizosphere
Bacteria.Bacteroidetes.Bacteroidia.Cytophagales.Cytophagaceae.Cytophaga,2.272401579,Control,3.500562904,0.004022708,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium.Methylobacteriumoxalidis,2.734261857,Antibiotics,3.459506807,3.28E-05,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Noviherbaspirillum.NA,3.992798845,Control,3.253162949,0.001224283,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Hyphomicrobiaceae,3.793276549,Antibiotics,3.333692535,0.000275504,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Noviherbaspirillum,3.992798845,Control,3.253162949,0.001224283,Rhizosphere
Bacteria.Cyanobacteria.Melainabacteria.Vampirovibrionales.NA.NA.NA,2.522668459,Control,3.207803738,0.001418408,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingobium,3.853643264,Control,3.346759879,0.000812117,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae.Devosia,4.048892129,Control,3.296380146,0.001224283,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Arenimonas,3.140385365,Control,3.090862523,0.003861437,Rhizosphere
Bacteria.Cyanobacteria.Oxyphotobacteria.OxyphotobacteriaIncertaeSedis.NA,3.418570898,Control,3.113278115,0.001832766,Rhizosphere
Bacteria.Cyanobacteria.Oxyphotobacteria.OxyphotobacteriaIncertaeSedis.NA.LeptolyngbyaEcFYyyy_00,3.418570898,Control,3.111355272,0.001832766,Rhizosphere
Bacteria.Cyanobacteria.Melainabacteria.Vampirovibrionales,2.522668459,Control,3.205546992,0.001418408,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae,4.605215418,Antibiotics,4.151052934,3.23E-05,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingobium.NA,3.853643264,Control,3.346759879,0.000812117,Rhizosphere
Bacteria.Acidobacteria.Blastocatellia_Subgroup4_.Pyrinomonadales.Pyrinomonadaceae.RB41.NA,3.769032215,Control,3.123720455,0.000428568,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium,4.500400534,Antibiotics,4.15871698,3.23E-05,Rhizosphere
Bacteria.Cyanobacteria.Oxyphotobacteria.OxyphotobacteriaIncertaeSedis.NA.LeptolyngbyaEcFYyyy_00.NA,3.418570898,Control,3.113261868,0.001832766,Rhizosphere
